Customer Number_x,Account Name,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude,Exception Report
1848,San Francisco State University,93-R-0426,Class R - Research Facility,Active,,469 ADMINISTRATION BUILDING,,"SAN FRANCISCO, CA 94132",San Francisco,1848,2024,,,,,,,,,,,37.722631,-122.482483,False
1973,Commonwealth Zoological Corporation (Zoo New England),14-R-0221,Class R - Research Facility,Active,,One Franklin Park Road,,"Boston, MA 02121",Suffolk,1973,2024,,,,,,,,,,,42.302861,-71.087644,False
2072,Marshall Farms Group LTD,21-R-0242,Class R - Research Facility,Active,,5800 Lake Bluff Road,,"North Rose, NY 14516",Wayne,2072,2024,,,,,,,,,,,43.213936,-76.906711,False
2280,West Virginia Division of Natural Resources (WV State Wildlife Center),54-R-0010,Class R - Research Facility,Active,,324 4th Avenue,,"South Charleston, WV 25303",Kanawha,2280,2024,,,,,,,,,,,38.366525,-81.69338,False
3082,"Lubee Foundation, Inc.",58-R-0131,Class R - Research Facility,Cancelled,,1309 NW 192nd Ave,,"Gainesville, FL 32609",Alachua,3082,2024,,,,,,,,,,,29.824873,-82.34015,False
3099,Miami-Dade Zoological Park and Gardens (Zoo Miami),58-R-0173,Class R - Research Facility,Active,,12400 SW 152nd Street,,"Miami, FL 33177",Miami-Dade,3099,2024,,,,,,,,,,,25.610561,-80.397727,False
3620,Monterey Bay Aquarium,93-R-0476,Class R - Research Facility,Active,,886 Cannery Row,,"Monterey, CA 93940",Monterey,3620,2024,,,,,,,,,,,36.618251,-121.901771,True
3653,Gibbon Conservation Center,93-R-0602,Class R - Research Facility,Active,,P. O. Box 800249,,"Santa Clarita, CA 91380",Los Angeles,3653,2024,,,,,,40.0,,,,,34.440891,-118.501748,False
3768,The Marine Mammal Center,93-R-0475,Class R - Research Facility,Active,,2000 Bunker Road,,"Sausalito, CA 94965",Marin,3768,2024,,,,,,,,,,,37.835156,-122.530821,False
3880,Fort Worth Zoological Park,74-R-0219,Class R - Research Facility,Active,,1989 Colonial Parkway,,"Fort Worth, TX 76110",Tarrant,3880,2024,,,,,,,,,,,32.722424,-97.359904,False
5404,Dave Spear,74-R-0232,Class R - Research Facility,Active,,PO Box 1509,,"FORT WORTH, TX 76101",Tarrant,5404,2024,,,,,,,,3.0,,,32.771419,-97.291484,False
6177,Riverhead Foundation for Marine Research & Preservation,21-R-0212,Class R - Research Facility,Active,,467 E. Main Street,,"Riverhead, NY 11901",Suffolk,6177,2024,,,,,,,,,,,40.918549,-72.655914,False
6989,Dolphins Plus Bayside Inc,58-R-0176,Class R - Research Facility,Active,,P.O. Box 870,,"Key Largo, FL 33037",Monroe,6989,2024,,,,,,,,,,,25.12273,-80.41158,False
7457,Nashville Zoo at Grassmere,63-R-0130,Class R - Research Facility,Active,,3777 Nolensville Pike,,"Nashville, TN 37211",Davidson,7457,2024,,,,,,,,,,,36.087704,-86.740028,False
7854,Antibodies Inc.,93-R-0158,Class R - Research Facility,Active,,P. O. Box 1560,,"Davis, CA 95617",Yolo,7854,2024,,,4.0,,79.0,,,,13.0,,38.55413,-121.798469,False
8207,Fordham University,21-R-0148,Class R - Research Facility,Active,,441 E FORDHAM ROAD,"CUNNISSE HOUSE, RM 219","BRONX, NY 10458",Bronx,8207,2024,,,,,,,,,,,40.861277,-73.889718,False
8237,California State University Sacramento,93-R-0423,Class R - Research Facility,Active,,6000 J STREET,Library 2520,"SACRAMENTO, CA 95819",Sacramento,8237,2024,,,,,,,,,,,38.563289,-121.426351,False
8612,Predators Of The Heart,91-R-0083,Class R - Research Facility,Active,,6128 PARKSIDE DRIVE,,"ANACORTES, WA 98221",Skagit,8612,2024,,,,,,,,,,,48.496586,-122.690355,False
8740,Ohio Northern University,31-R-0040,Class R - Research Facility,Active,,525 SOUTH MAIN STREET,,"ADA, OH 45810",Hardin,8740,2024,,,,,,,,,,,40.765407,-83.823754,False
8817,21st Century Medicine Inc.,93-R-0430,Class R - Research Facility,Active,,14960 HILTON DRIVE,,"FONTANA, CA 92336",San Bernardino,8817,2024,,,,,191.0,,,43.0,,,34.109351,-117.479526,False
8977,University Of The Ozarks,71-R-0104,Class R - Research Facility,Active,,415 North College Ave,,"CLARKSVILLE, AR 72830",Johnson,8977,2024,,,,,,,,,,,35.475881,-93.466099,False
9012,Allegheny-Singer Research Institute,23-R-0154,Class R - Research Facility,Active,,"9th Floor, 4 Allegheny Center",,"PITTSBURGH, PA 15212",Allegheny,9012,2024,,,,,42.0,,16.0,17.0,,,40.525981,-80.020466,False
9191,University of California-Berkeley,93-R-0432,Class R - Research Facility,Active,,119 California Hall,,"Berkeley, CA 94720",Alameda,9191,2024,,,111.0,,,29.0,,,,,38.037942,-122.261983,True
