establishment_id,establishment_name,street,city,state,zip,latitude,longitude,type,slaughter,animals_slaughtered_list,animals_processed_list,phone,grant_date,dbas,slaughter_volume_category,processing_volume_category
NZAGBIZ2/01,NZAgbiz Limited,Factory Road,Waharoa,Matamata-Piako District Council,,-37.760023,175.7508939,Risk Management Programme - Custom,No,,Dairy products,,2022-12-01,,,
NZAH1/01,J.Friend and Co Limited,"29b Coleridge Street, Sydenham",Christchurch,Christchurch City Council,,-43.5458083,172.6425267,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Comb honey, Dried pollen",,2017-09-20,,,
NZBC15/01,New Zealand Biltong Company Limited,10 Rothwell Street,Timaru,Timaru District Council,,-44.416522,171.2479727,Risk Management Programme - Custom,No,,Red meat,,2019-11-04,,,
NZBEES1/01,NZ Bees Limited,"14 Morton Road, RD 4",Katikati,Far North District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Honey, Propolis, Royal jelly",,2023-05-01,,,
NZCC88/01,NZCC Limited,"Whakatu Industrial Park, 4 Johnston Way",WHAKATU,Hastings District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Casings, Green runners",,2023-03-31,,,
NZCHICKS01/01,NZ Chicks Limited,"10 Monk Road, South Head",Auckland,Auckland Council,,-36.5374004,174.2903187,Risk Management Programme - Chicken producers,No,,Broiler (meat) chickens,,2023-09-08,,,
NZDG01/01,New Zealand Dairy Goats Limited,1265 Alexandra Road,Waharoa,Matamata-Piako District Council,,-37.6987797,175.7471462,Risk Management Programme - Farm dairies - Export eligible milk,No,,Dairy material,,2023-05-03,,,
NZDUCKS01/01,Nugget Investments Limited,"433 Morgan Road, Titoki",Whangarei,Whangarei District Council,,-35.7675424,174.0278542,Risk Management Programme - Eggs,No,,"Balut, Eggs, Penoy",,2023-09-05,New Zealand Duck Eggs,,
NZEGL1/01,New Zealand Egg Group Limited,127 Waihou Road,Levin,Horowhenua District Council,,-40.6173032,175.3245184,"Risk Management Programme - Custom, Eggs",No,,"Eggs, Layer chickens, Rearer laying chickens",,2023-06-07,,,
NZFINFS24/01,New Zealand Food Innovation Network Limited,"South Drive, Lincoln University",Lincoln,Selwyn District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Eggs, Fish, Gelatine, Honey, Non-AP, Ostriches & emus, Poultry, Propolis, Red meat",,2024-12-23,FoodSouth,,
